sep=,
Make,Model,Modulation,Weight (g),L (mm),C (mm),A (mm),TensãoTorque1,Torque1 (kgf.cm),TensãoTorque2,Torque2 (kgf.cm),TensãoTorque3,Torque3 (kgf.cm),TensãoTorque4,Torque4 (kgf.cm),TensãoTorque5,Torque5 (kgf.cm),TensãoSpeed1,Speed1 (°/s),TensãoSpeed2,Speed2 (°/s),TensãoSpeed3,Speed3 (°/s),TensãoSpeed4,Speed4 (°/s),TensãoSpeed5,Speed5 (°/s),Motor Type,Rotation,Gear Material,Typical Price
Multiplex,Profi mc/V2*,Digital,48.19,35.56,20.32,38.10,4.8,4.90,6.0,5.40,,,,,,,4.8,352.94,6.0,428.57,,,,,,,-,-,-,$94.70
Multiplex,Profi Speed BB*,Digital,47.91,36.07,19.05,39.12,4.8,3.46,6.0,4.25,,,,,,,4.8,400.00,6.0,666.67,,,,,,,3-pole,Dual Bearings,Metal,$82.95
Multiplex,Profi Speed mc/V2*,Digital,48.19,35.56,20.32,38.10,4.8,4.10,6.0,4.46,,,,,,,4.8,500.00,6.0,600.00,,,,,,,3-pole,Dual Bearings,Metal,$93.19
Multiplex,Rhino Digi 4*,Digital,144.58,55.88,27.94,50.80,4.8,25.49,,,,,,,,,4.8,428.57,6.0,600.00,,,,,,,3-pole,Triple Bearings,Metal,$133.91
Multiplex,Rhino Pro SHV DIGI 4,Digital,,58.93,28.96,52.07,6.0,63.50,,,,,,,,,6.0,400.00,,,,,,,,,Brushed,Triple Bearings,Metal,$122.00
Multiplex,Royal BB*,-,45.93,40.64,20.32,40.64,4.8,4.61,,,,,,,,,4.8,400.00,,,,,,,,,-,Single Bearing,-,$51.49
Multiplex,Royal Digi*,Digital,45.93,39.88,21.08,40.89,4.8,4.61,6.0,5.69,,,,,,,4.8,400.00,6.0,500.00,,,,,,,3-pole,Dual Bearings,Plastic,$66.23
Multiplex,Royal mc/V2*,Digital,45.36,40.64,20.32,40.64,4.8,5.11,6.0,5.62,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,-,-,$76.66
Multiplex,Slim-Star FL Digi*,Digital,22.96,53.34,10.16,22.86,4.8,2.88,6.0,3.60,,,,,,,4.8,600.00,6.0,666.67,,,,,,,3-pole,Dual Bearings,Metal,-
Multiplex,Super FL BB*,-,24.10,40.64,10.16,43.18,4.8,2.45,,,,,,,,,4.8,375.00,,,,,,,,,-,Single Bearing,-,$57.61
Multiplex,Super FL Digi*,-,26.93,35.56,33.02,17.78,4.8,2.95,6.0,3.67,,,,,,,4.8,240.00,6.0,300.00,,,,,,,3-pole,Dual Bearings,Plastic,-
Multiplex,Super FL mc/V2*,Digital,24.10,40.64,10.16,43.18,4.8,2.45,6.0,2.88,,,,,,,4.8,285.71,6.0,352.94,,,,,,,-,-,-,$94.70
Multiplex,Super FL V2*,Digital,24.10,40.89,10.92,42.42,4.8,2.02,6.0,2.45,,,,,,,4.8,300.00,6.0,375.00,,,,,,,-,-,-,$71.79
Multiplex,Tiny S*,-,16.44,29.72,11.94,29.46,4.8,2.60,6.0,3.00,,,,,,,4.8,545.45,6.0,666.67,,,,,,,3-pole,-,Plastic,$29.65
Multiplex,Titan Digi 4*,Digital,52.73,40.64,20.32,38.10,4.8,6.84,6.0,8.57,,,,,,,4.8,428.57,6.0,857.14,,,,,,,Coreless,Dual Bearings,Plastic,-
